week_index,date,cases
0,2025-01-06,1
1,2025-01-13,1
2,2025-01-20,1
3,2025-01-27,2
4,2025-02-03,2
5,2025-02-10,3
6,2025-02-17,1
7,2025-02-24,2
8,2025-03-03,1
9,2025-03-10,4
10,2025-03-17,2
11,2025-03-24,2
12,2025-03-31,3
13,2025-04-07,2
14,2025-04-14,4
15,2025-04-21,3
16,2025-04-28,5
17,2025-05-05,7
18,2025-05-12,9
19,2025-05-19,9
20,2025-05-26,12
21,2025-06-02,17
22,2025-06-09,28
23,2025-06-16,29
24,2025-06-23,40
25,2025-06-30,51
26,2025-07-07,57
27,2025-07-14,63
28,2025-07-21,65
29,2025-07-28,65
30,2025-08-04,69
31,2025-08-11,58
32,2025-08-18,53
33,2025-08-25,41
34,2025-09-01,30
35,2025-09-08,23
36,2025-09-15,19
37,2025-09-22,15
38,2025-09-29,10
39,2025-10-06,8
40,2025-10-13,4
41,2025-10-20,5
42,2025-10-27,2
43,2025-11-03,1
44,2025-11-10,1
45,2025-11-17,1
46,2025-11-24,1
47,2025-12-01,0
48,2025-12-08,1
49,2025-12-15,0
50,2025-12-22,0
51,2025-12-29,0
