week_index,date,cases
0,2024-12-30,1
1,2025-01-06,1
2,2025-01-13,1
3,2025-01-20,1
4,2025-01-27,3
5,2025-02-03,2
6,2025-02-10,2
7,2025-02-17,2
8,2025-02-24,3
9,2025-03-03,1
10,2025-03-10,1
11,2025-03-17,1
12,2025-03-24,1
13,2025-03-31,4
14,2025-04-07,3
15,2025-04-14,3
16,2025-04-21,3
17,2025-04-28,14
18,2025-05-05,11
19,2025-05-12,11
20,2025-05-19,11
21,2025-05-26,39
22,2025-06-02,27
23,2025-06-09,27
24,2025-06-16,27
25,2025-06-23,27
26,2025-06-30,106
27,2025-07-07,79
28,2025-07-14,79
29,2025-07-21,79
30,2025-07-28,152
31,2025-08-04,73
32,2025-08-11,73
33,2025-08-18,73
34,2025-08-25,73
35,2025-09-01,28
36,2025-09-08,28
37,2025-09-15,28
38,2025-09-22,28
39,2025-09-29,36
40,2025-10-06,8
41,2025-10-13,8
42,2025-10-20,8
43,2025-10-27,11
44,2025-11-03,3
45,2025-11-10,3
46,2025-11-17,3
47,2025-11-24,3
48,2025-12-01,1
49,2025-12-08,1
50,2025-12-15,1
51,2025-12-22,1
52,2025-12-29,1
