week_index,date,cases
0,2024-12-30,0
1,2025-01-06,219
2,2025-01-13,244
3,2025-01-20,201
4,2025-01-27,246
5,2025-02-03,275
6,2025-02-10,230
7,2025-02-17,277
8,2025-02-24,258
9,2025-03-03,272
10,2025-03-10,279
11,2025-03-17,270
12,2025-03-24,104
13,2025-03-31,142
14,2025-04-07,252
15,2025-04-14,261
16,2025-04-21,243
17,2025-04-28,212
18,2025-05-05,216
19,2025-05-12,240
20,2025-05-19,247
21,2025-05-26,257
22,2025-06-02,95
23,2025-06-09,142
24,2025-06-16,288
25,2025-06-23,308
26,2025-06-30,296
27,2025-07-07,320
28,2025-07-14,340
29,2025-07-21,401
30,2025-07-28,425
31,2025-08-04,329
32,2025-08-11,393
33,2025-08-18,394
34,2025-08-25,336
35,2025-09-01,263
36,2025-09-08,313
37,2025-09-15,271
38,2025-09-22,258
39,2025-09-29,180
40,2025-10-06,235
41,2025-10-13,224
42,2025-10-20,222
43,2025-10-27,201
44,2025-11-03,202
45,2025-11-10,186
46,2025-11-17,214
47,2025-11-24,236
48,2025-12-01,178
49,2025-12-08,200
50,2025-12-15,189
51,2025-12-22,137
52,2025-12-29,0
