week_index,date,cases
0,2024-12-30,1
1,2025-01-06,1
2,2025-01-13,1
3,2025-01-20,1
4,2025-01-27,3
5,2025-02-03,2
6,2025-02-10,2
7,2025-02-17,2
8,2025-02-24,4
9,2025-03-03,1
10,2025-03-10,1
11,2025-03-17,1
12,2025-03-24,1
13,2025-03-31,4
14,2025-04-07,2
15,2025-04-14,2
16,2025-04-21,2
17,2025-04-28,9
18,2025-05-05,7
19,2025-05-12,7
20,2025-05-19,7
21,2025-05-26,34
22,2025-06-02,28
23,2025-06-09,28
24,2025-06-16,28
25,2025-06-23,28
26,2025-06-30,133
27,2025-07-07,105
28,2025-07-14,105
29,2025-07-21,105
30,2025-07-28,216
31,2025-08-04,110
32,2025-08-11,110
33,2025-08-18,110
34,2025-08-25,110
35,2025-09-01,42
36,2025-09-08,42
37,2025-09-15,42
38,2025-09-22,42
39,2025-09-29,50
40,2025-10-06,9
41,2025-10-13,9
42,2025-10-20,9
43,2025-10-27,10
44,2025-11-03,1
45,2025-11-10,1
46,2025-11-17,1
47,2025-11-24,1
48,2025-12-01,0
49,2025-12-08,0
50,2025-12-15,0
51,2025-12-22,0
52,2025-12-29,0
